2000x2000x2000	0.060746 s	263.393779 GFLOPS
2500x2500x2500	0.082532 s	378.638957 GFLOPS
3000x3000x3000	0.117898 s	458.021129 GFLOPS
3500x3500x3500	0.168570 s	508.690396 GFLOPS
4000x4000x4000	0.255937 s	500.123034 GFLOPS
4500x4500x4500	0.343713 s	530.238785 GFLOPS
5000x5000x5000	0.483047 s	517.547734 GFLOPS
5500x5500x5500	0.645647 s	515.374872 GFLOPS
6000x6000x6000	0.779426 s	554.254243 GFLOPS
6500x6500x6500	0.995472 s	551.748502 GFLOPS
7000x7000x7000	1.255718 s	546.301160 GFLOPS
7500x7500x7500	1.502234 s	561.663661 GFLOPS
8000x8000x8000	1.850631 s	553.324712 GFLOPS
8500x8500x8500	2.332647 s	526.547792 GFLOPS
9000x9000x9000	2.690627 s	541.881102 GFLOPS
9500x9500x9500	3.178108 s	539.550573 GFLOPS
10000x10000x10000	3.648729 s	548.136136 GFLOPS
10500x10500x10500	4.032578 s	574.136396 GFLOPS
11000x11000x11000	4.408341 s	603.855223 GFLOPS
11500x11500x11500	4.882438 s	622.998221 GFLOPS
12000x12000x12000	5.449357 s	634.203275 GFLOPS
12500x12500x12500	5.971919 s	654.102998 GFLOPS
13000x13000x13000	6.241889 s	703.953511 GFLOPS
13500x13500x13500	8.255521 s	596.055675 GFLOPS
14000x14000x14000	9.180849 s	597.766095 GFLOPS
14500x14500x14500	8.962801 s	680.283954 GFLOPS
15000x15000x15000	7.684572 s	878.383293 GFLOPS
15500x15500x15500	9.755586 s	763.434415 GFLOPS
16000x16000x16000	8.819418 s	928.859485 GFLOPS
16500x16500x16500	11.061939 s	812.176789 GFLOPS
17000x17000x17000	15.537496 s	632.405623 GFLOPS
17500x17500x17500	15.925740 s	673.045654 GFLOPS
18000x18000x18000	18.785421 s	620.907021 GFLOPS
18500x18500x18500	18.917227 s	669.403079 GFLOPS
19000x19000x19000	20.783521 s	660.042151 GFLOPS
19500x19500x19500	17.439058 s	850.375637 GFLOPS
20000x20000x20000	21.276678 s	751.997093 GFLOPS
