2001x2001x2001	0.095714 s	167.415666 GFLOPS
2003x2003x2003	0.094995 s	169.189800 GFLOPS
2000x2000x2000	0.094765 s	168.838419 GFLOPS
2004x2004x2004	0.094208 s	170.857591 GFLOPS
2005x2005x2005	0.097450 s	165.420842 GFLOPS
2006x2006x2006	0.088431 s	182.565214 GFLOPS
2007x2007x2007	0.097928 s	165.106475 GFLOPS
2008x2008x2008	0.092029 s	175.953660 GFLOPS
2009x2009x2009	0.094729 s	171.192976 GFLOPS
2010x2010x2010	0.103661 s	156.675527 GFLOPS
2011x2011x2011	0.100257 s	162.238371 GFLOPS
2012x2012x2012	0.093009 s	175.141789 GFLOPS
2013x2013x2013	0.096018 s	169.905366 GFLOPS
2014x2014x2014	0.091119 s	179.308182 GFLOPS
2015x2015x2015	0.104862 s	156.040725 GFLOPS
2016x2016x2016	0.088584 s	184.988188 GFLOPS
2017x2017x2017	0.102276 s	160.462837 GFLOPS
2018x2018x2018	0.091657 s	179.320144 GFLOPS
2019x2019x2019	0.106282 s	154.874533 GFLOPS
2398x2398x2398	0.117774 s	234.167847 GFLOPS
2409x2409x2409	0.106573 s	262.357314 GFLOPS
2428x2428x2428	0.111842 s	255.958938 GFLOPS
2420x2420x2420	0.125416 s	226.006901 GFLOPS
2717x2717x2717	0.137041 s	292.716549 GFLOPS
2726x2726x2726	0.140875 s	287.589806 GFLOPS
2732x2732x2732	0.140013 s	291.274896 GFLOPS
2744x2744x2744	0.142588 s	289.801605 GFLOPS
3043x3043x3043	0.191390 s	294.452917 GFLOPS
3057x3057x3057	0.175456 s	325.648300 GFLOPS
3080x3080x3080	0.173125 s	337.538567 GFLOPS
3084x3084x3084	0.172760 s	339.571347 GFLOPS
3360x3360x3360	0.210392 s	360.593889 GFLOPS
3384x3384x3384	0.227634 s	340.474190 GFLOPS
3404x3404x3404	0.211088 s	373.709799 GFLOPS
3407x3407x3407	0.237700 s	332.749485 GFLOPS
3687x3687x3687	0.255863 s	391.779815 GFLOPS
3727x3727x3727	0.306295 s	338.040045 GFLOPS
3732x3732x3732	0.249986 s	415.851774 GFLOPS
3738x3738x3738	0.311437 s	335.411137 GFLOPS
