2001x2001x2001	0.118228 s	135.534753 GFLOPS
2002x2002x2002	0.124349 s	129.056113 GFLOPS
2003x2003x2003	0.118798 s	135.288838 GFLOPS
2000x2000x2000	0.121417 s	131.777446 GFLOPS
2004x2004x2004	0.118791 s	135.500410 GFLOPS
2005x2005x2005	0.123433 s	130.599985 GFLOPS
2006x2006x2006	0.121496 s	132.880356 GFLOPS
2007x2007x2007	0.125655 s	128.674881 GFLOPS
2008x2008x2008	0.116119 s	139.449809 GFLOPS
2009x2009x2009	0.123364 s	131.455846 GFLOPS
2010x2010x2010	0.129105 s	125.798545 GFLOPS
2011x2011x2011	0.125238 s	129.876310 GFLOPS
2012x2012x2012	0.124963 s	130.355931 GFLOPS
2013x2013x2013	0.133478 s	122.222422 GFLOPS
2014x2014x2014	0.119038 s	137.253114 GFLOPS
2015x2015x2015	0.128292 s	127.543108 GFLOPS
2016x2016x2016	0.122641 s	133.617761 GFLOPS
2017x2017x2017	0.131026 s	125.253374 GFLOPS
2018x2018x2018	0.124806 s	131.691468 GFLOPS
2019x2019x2019	0.122548 s	134.317576 GFLOPS
2398x2398x2398	0.239689 s	115.061118 GFLOPS
2409x2409x2409	0.225403 s	124.045555 GFLOPS
2428x2428x2428	0.217151 s	131.829728 GFLOPS
2420x2420x2420	0.243564 s	116.375677 GFLOPS
2717x2717x2717	0.296087 s	135.481314 GFLOPS
2726x2726x2726	0.303371 s	133.546585 GFLOPS
2732x2732x2732	0.309774 s	131.651809 GFLOPS
2744x2744x2744	0.295652 s	139.765974 GFLOPS
3043x3043x3043	0.399245 s	141.155139 GFLOPS
3057x3057x3057	0.413003 s	138.344840 GFLOPS
3080x3080x3080	0.431585 s	135.399213 GFLOPS
3084x3084x3084	0.461072 s	127.234475 GFLOPS
3360x3360x3360	0.507697 s	149.431825 GFLOPS
3384x3384x3384	0.490909 s	157.877515 GFLOPS
3404x3404x3404	0.519384 s	151.883401 GFLOPS
3407x3407x3407	0.544058 s	145.378732 GFLOPS
3687x3687x3687	0.665807 s	150.557003 GFLOPS
3727x3727x3727	0.661041 s	156.631690 GFLOPS
3732x3732x3732	0.661860 s	157.068459 GFLOPS
3738x3738x3738	0.695158 s	150.267286 GFLOPS
