Matrix Size (n),Seconds,GFLOPS,Precision
2000, 1.207802, 13.247208,Single
2000, 1.130137, 14.157582,Double
2500, 1.272565, 24.556709,Single
2500, 1.118942, 27.928175,Double
3000, 1.400044, 38.570227,Single
3000, 1.089857, 49.547763,Double
3500, 1.256526, 68.243691,Single
3500, 1.326579, 64.639964,Double
4000, 1.507665, 84.899509,Single
4000, 1.494680, 85.637074,Double
4500, 1.744509, 104.470680,Single
4500, 1.542788, 118.130294,Double
5000, 1.681637, 148.664658,Single
5000, 1.571071, 159.127108,Double
5500, 1.862827, 178.626363,Single
5500, 1.758282, 189.247267,Double
6000, 1.697722, 254.458693,Single
6000, 1.928472, 224.011554,Double
6500, 2.158888, 254.413353,Single
6500, 2.404756, 228.401567,Double
7000, 2.097456, 327.062879,Single
7000, 2.420870, 283.369254,Double
7500, 2.160302, 390.570425,Single
7500, 2.632101, 320.561368,Double
8000, 2.127448, 481.327822,Single
8000, 2.913992, 351.408001,Double
8500, 2.359089, 520.645875,Single
8500, 2.639499, 465.334503,Double
9000, 2.349408, 620.581765,Single
9000, 2.878827, 506.456238,Double
9500, 2.689853, 637.488278,Single
9500, 3.343636, 512.839949,Double
10000, 2.941827, 679.849575,Single
10000, 4.177539, 478.750710,Double
10500, 2.677974, 864.552773,Single
10500, 3.929580, 589.185111,Double
11000, 3.353403, 793.820555,Single
11000, 4.932890, 539.643105,Double
11500, 3.631505, 837.600332,Single
11500, 5.190515, 586.020885,Double
12000, 3.901593, 885.792028,Single
12000, 5.223591, 661.613801,Double
12500, 4.571085, 854.556386,Single
12500, 6.189701, 631.088672,Double
13000, 4.344200, 1011.463647,Single
13000, 7.101192, 618.769368,Double
13500, 4.741565, 1037.790230,Single
13500, 8.139851, 604.525796,Double
14000, 4.751248, 1155.064907,Single
14000, 9.073377, 604.846442,Double
14500, 5.601380, 1088.526402,Single
14500, 9.085052, 671.129927,Double
15000, 5.519471, 1222.943291,Single
15000, 11.011245, 613.009674,Double
15500, 6.760238, 1101.699315,Single
15500, 9.826828, 757.899735,Double
16000, 7.390883, 1108.392571,Single
16000, 11.241302, 728.741218,Double
16500, 9.323287, 963.635484,Single
16500, 13.623088, 659.487023,Double
17000, 7.986498, 1230.326455,Single
17000, 15.633025, 628.541195,Double
17500, 7.356187, 1457.106727,Single
17500, 18.700411, 573.182585,Double
18000, 8.931749, 1305.903292,Single
18000, 17.670687, 660.076191,Double
18500, 8.652626, 1463.515285,Single
18500, 17.053590, 742.556258,Double
19000, 9.635763, 1423.654741,Single
19000, 18.574650, 738.533415,Double
19500, 9.020187, 1644.062374,Single
19500, 22.153247, 669.416546,Double
20000, 12.548207, 1275.082582,Single
20000, 19.384938, 825.383073,Double
