Matrix Size (n),Seconds,GFLOPS,Precision
2000, 0.068184, 234.659725,Single
2000, 0.100487, 159.224743,Double
2500, 0.092410, 338.165987,Single
2500, 0.188759, 165.555196,Double
3000, 0.138252, 390.589945,Single
3000, 0.326526, 165.377190,Double
3500, 0.302151, 283.798165,Single
3500, 0.441192, 194.359725,Double
4000, 0.273093, 468.705471,Single
4000, 0.724931, 176.568617,Double
4500, 0.397355, 458.657420,Single
4500, 0.787562, 231.410240,Double
5000, 0.488969, 511.279653,Single
5000, 0.968397, 258.158670,Double
5500, 0.631130, 527.229221,Single
5500, 1.168941, 284.659364,Double
6000, 0.772303, 559.366055,Single
6000, 1.360056, 317.634026,Double
6500, 0.935127, 587.353167,Single
6500, 1.623852, 338.238861,Double
7000, 1.089185, 629.828564,Single
7000, 1.907612, 359.611995,Double
7500, 1.197351, 704.680508,Single
7500, 2.211372, 381.550503,Double
8000, 1.426155, 718.014538,Single
8000, 2.579609, 396.959385,Double
8500, 1.595303, 769.916616,Single
8500, 2.851603, 430.722709,Double
9000, 1.799482, 810.233337,Single
9000, 3.261069, 447.092602,Double
9500, 2.005018, 855.229303,Single
9500, 3.585020, 478.309784,Double
10000, 2.115862, 945.241411,Single
10000, 4.038538, 495.228682,Double
10500, 2.541480, 910.984800,Single
10500, 4.348341, 532.444404,Double
11000, 2.673359, 995.751126,Single
11000, 4.731174, 562.651035,Double
11500, 2.886643, 1053.732509,Single
11500, 5.398952, 563.396353,Double
12000, 3.223645, 1072.078312,Single
12000, 5.712635, 604.974762,Double
12500, 3.457550, 1129.773906,Single
12500, 6.023711, 648.478962,Double
13000, 3.589531, 1224.115444,Single
13000, 6.636513, 662.094673,Double
13500, 4.135271, 1189.946098,Single
13500, 7.997764, 615.265682,Double
14000, 3.845256, 1427.213323,Single
14000, 8.538292, 642.751487,Double
14500, 4.608779, 1322.964364,Single
14500, 10.339978, 589.677253,Double
15000, 4.997799, 1350.594509,Single
15000, 10.437509, 646.706023,Double
15500, 5.474218, 1360.513856,Single
15500, 9.542380, 780.491847,Double
16000, 5.645131, 1451.162029,Single
16000, 10.332407, 792.845239,Double
16500, 6.619539, 1357.231914,Single
16500, 13.495920, 665.701189,Double
17000, 7.396384, 1328.486998,Single
17000, 14.996168, 655.234075,Double
17500, 6.797292, 1576.914813,Single
17500, 15.184401, 705.905365,Double
18000, 7.300299, 1597.742749,Single
18000, 16.866024, 691.567836,Double
18500, 7.782394, 1627.166411,Single
18500, 17.197312, 736.350547,Double
19000, 8.435070, 1626.305421,Single
19000, 17.843689, 768.787208,Double
19500, 8.106424, 1829.382567,Single
19500, 18.142073, 817.423107,Double
20000, 10.519975, 1520.916117,Single
20000, 18.115137, 883.239238,Double
