2000x2000x2000	0.064322 s	248.748039 GFLOPS
2500x2500x2500	0.108990 s	286.723116 GFLOPS
3000x3000x3000	0.172523 s	313.001523 GFLOPS
3500x3500x3500	0.261378 s	328.068695 GFLOPS
4000x4000x4000	0.381137 s	335.837270 GFLOPS
4500x4500x4500	0.508973 s	358.074292 GFLOPS
5000x5000x5000	0.656640 s	380.726022 GFLOPS
5500x5500x5500	0.842305 s	395.046701 GFLOPS
6000x6000x6000	1.009381 s	427.985138 GFLOPS
6500x6500x6500	1.230500 s	446.363281 GFLOPS
7000x7000x7000	1.463319 s	468.797337 GFLOPS
7500x7500x7500	1.725256 s	489.057718 GFLOPS
8000x8000x8000	2.057056 s	497.798704 GFLOPS
8500x8500x8500	2.275938 s	539.667554 GFLOPS
9000x9000x9000	2.675282 s	544.989335 GFLOPS
9500x9500x9500	3.089036 s	555.108477 GFLOPS
10000x10000x10000	3.336254 s	599.474787 GFLOPS
10500x10500x10500	3.650838 s	634.169547 GFLOPS
11000x11000x11000	4.039636 s	658.970322 GFLOPS
11500x11500x11500	4.291376 s	708.805332 GFLOPS
12000x12000x12000	4.915801 s	703.039058 GFLOPS
12500x12500x12500	5.192553 s	752.279310 GFLOPS
13000x13000x13000	5.663216 s	775.884231 GFLOPS
13500x13500x13500	6.857710 s	717.550048 GFLOPS
14000x14000x14000	7.333634 s	748.332991 GFLOPS
14500x14500x14500	8.067111 s	755.815813 GFLOPS
15000x15000x15000	8.828297 s	764.586848 GFLOPS
15500x15500x15500	8.440122 s	882.422045 GFLOPS
16000x16000x16000	8.987931 s	911.444446 GFLOPS
16500x16500x16500	11.013463 s	815.751600 GFLOPS
17000x17000x17000	11.822642 s	831.117133 GFLOPS
17500x17500x17500	12.736481 s	841.578601 GFLOPS
18000x18000x18000	15.004797 s	777.351418 GFLOPS
18500x18500x18500	15.405961 s	821.970786 GFLOPS
19000x19000x19000	16.822628 s	815.449270 GFLOPS
19500x19500x19500	17.749004 s	835.525776 GFLOPS
20000x20000x20000	17.414862 s	918.755480 GFLOPS
