# Clock frequency is approx. 4138.4 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	33497	17894	12472	9296	7446	5757	4398	4033	3635	3396	3265	2995	2976	2865	2806	
16	33320	18538	12586	9570	7577	5890	4732	4029	3789	3468	3287	3119	2974	2874	2789	
15	33432	19221	13475	10287	7876	6134	4872	4284	3953	3635	3484	3296	3124	3077	2993	
14	35743	21518	15590	10951	8591	7185	5888	4851	4483	3976	3867	3739	3454	3539	3475	
13	41876	29341	23349	18251	13684	11775	10194	8728	8655	8070	8393	8133	7899	7687	7543	
12	62276	41928	30858	23939	19266	16210	13964	11954	11217	10571	10170	9656	9333	9010	9067	
11	65555	45115	33730	26125	21106	17703	15126	13193	12489	12165	12188	12520	12994	14299	15737	
10	71370	55400	53330	52076	47203	41939	36849	32590	37539	42175	41630	41776	41032	40978	40079	
9	72818	57142	56916	56409	53919	50512	46673	42664	41919	42501	41639	41902	40796	40730	40212	
8	72765	57007	56902	56620	54569	52000	47744	43352	42684	42609	42601	42886	41474	41085	40494	
7	72750	56715	56519	56175	54596	51424	48188	42563	42622	42981	42434	42282	41598	40912	40134	
6	72304	56691	56326	56082	53811	51363	48248	43575	42319	52151	75853	82783	84119	84964	79650	
5	91936	91133	89327	83707	86641	85605	82785	76355	78050	81181	78497	77915	68161	73362	70611	
4	91626	88285	85605	81104	82666	78457	78095	68350	66069	69170	66258	59462	62823	59047	63649	
# Clock frequency is approx. 503.2 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	4093	2207	1525	1152	936	709	575	488	454	421	390	379	343	340	342	
16	4070	2293	1528	1195	938	723	580	502	459	430	403	382	360	352	340	
15	4063	2334	1610	1244	965	747	620	521	476	443	418	398	381	365	358	
14	4223	2604	1857	1391	1067	877	735	587	548	486	465	462	439	433	429	
13	5041	3533	2806	2214	1700	1393	1191	1030	966	949	938	909	941	943	859	
12	7436	5070	3764	2901	2346	1977	1687	1459	1405	1314	1356	1165	1175	1140	1130	
11	7933	5472	4107	3169	2551	2134	1824	1588	1522	1503	1516	1588	1695	1872	2085	
10	8766	6839	6716	6536	6092	5559	5013	4574	4671	4869	5065	5074	5014	4968	4909	
9	8860	6949	6889	6857	6549	6199	5677	5207	5085	5121	5063	5062	4995	4967	4911	
8	8864	6952	6910	6887	6650	6319	5795	5265	5181	5147	5127	5272	5088	5063	4888	
7	8843	6954	6881	6833	6635	6361	5937	5255	5128	5226	5191	5151	4925	4943	4918	
6	8853	6899	6827	6752	6498	6161	5752	5305	5124	5984	9338	10253	10146	9733	9859	
5	11270	11081	10948	10254	10402	10409	10197	9815	9691	9871	9545	9540	8288	8532	9008	
4	11202	10791	10488	9862	10113	9540	9345	8311	8033	8586	8056	7155	7827	6926	7527	
# Clock frequency is approx. 725.2 MHz
# Memory mountain (MB/sec)
15	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
17	5906	3157	2218	1668	1336	1031	821	719	663	617	579	541	525	507	495	
16	5908	3287	2118	1701	1354	1033	824	704	666	630	584	560	527	510	497	
15	5877	2834	2333	1719	1391	1096	861	743	695	643	603	574	555	534	516	
14	6205	3904	2751	1850	1593	1235	998	838	789	699	690	654	628	608	612	
13	7248	5120	4063	3220	2460	2037	1777	1485	1392	1438	1419	1423	1396	1369	1433	
12	10914	7295	5517	4172	3410	2860	2449	2144	2018	1916	1830	1764	1711	1657	1632	
11	10914	7865	5958	4621	3694	3087	2626	2283	2185	2223	2299	2374	2507	2646	2774	
10	12501	9667	9258	8922	8103	7137	6283	5630	5917	6914	7298	7319	7192	7179	7068	
9	12771	10001	9985	9869	9425	8906	8203	7556	7394	7371	7293	7285	7250	7120	7006	
8	12777	10009	9995	9905	9630	9001	8377	7539	7576	7532	7385	7382	7275	7242	7076	
7	12772	9951	9879	9848	9548	9021	8340	7553	7469	7385	7455	7368	7239	7269	7120	
6	12718	9868	9815	9795	9477	9083	8310	7417	7511	8656	13374	14667	13539	14888	14144	
5	16242	16121	15715	15633	14712	14888	14954	13380	12814	13893	14397	13377	12265	13053	12982	
4	16099	15716	14888	14778	14226	13560	13685	12480	11998	11878	11366	10878	11009	10475	10559	
